Atresia_by_I,Atresia_by_P,Est_atr_YG,Est_atr_YV,Est_atr_YV_YG,Field_area,Fish_weight,FishLength,FultonK,Grid_points,Grid_total,GSI,Neg_grid,No_grid,No_pictures,Ovary_weight,Rel_atr_ YG,Rel_atr_ YV,Rel_atr_ YV_YG,Rel_atr_tot,Sample_ref,YG,YG_P,YV,YV_P,YV_YG,YV_YG_P,Age,CalendarDay,OvaryWeight,SamplingApproach,StartLatitude,StartLongitude,SurveyPeriod
IMR,,2579.85,24330.33,5859.74,0.287994527,384.4,39.4,0.628484706,1568,1568,4.37044745,79,1489,1,16.8,6.71,63.29,15.24,85.25,C007,37,3,52,15,17,4,13,104,16.8,,59.0846,-7.0711,4
IMR,,0,1625.09,3447.34,0.279178368,341.6,36.8,0.68544783,1520,1520,4.3911007,42,1478,1,15,0,4.76,10.09,14.85,C132,0,0,3,1,18,3,5,111,15,,59.5114,-5.1075,4
IMR,,703.09,2547.2,555.84,0.300851425,348.8,37.7,0.650957186,1638,1638,2.52293578,171,1467,1,8.8,2.02,7.3,1.59,10.91,C167,35,2,9,3,7,1,6,112,8.8,,60.1299,-4.1096,4
IMR,,1069.34,7444.57,5777.69,0.3438302,210.8,32.5,0.614073737,1872,1872,6.21442125,174,1698,1,13.1,5.07,35.32,27.41,67.8,K083,26,2,23,7,57,8,2,82,13.1,R,46.92,-7.12,3
IMR,,586.19,14235.49,37732.75,0.42978775,345.4,36.3,0.722108502,2340,2340,6.62999421,32,2308,1,22.9,1.7,41.21,109.24,152.16,K257,23,1,39,10,238,35,5,89,22.9,R,45.3505,-3.0095,3
IMR,,0,2186.61,6890.78,0.418767552,403,39.6,0.64896233,2280,2280,5.06203474,449,1831,1,20.4,0,5.43,17.1,22.52,M052,0,0,9,2,58,8,11,82,20.4,R,43.55,-3.94,3
IMR,,0,0,2318.11,0.630355367,381.8,39.1,0.638712847,3432,3432,8.06705081,391,3041,1,30.8,0,0,6.07,6.07,K121,0,0,0,0,30,3,11,85,30.8,R,48.6767,-9.5757,3
IMR,,0,0,1141.19,0.528969539,328.6,36.5,0.67575453,2880,2880,7.85149117,87,2793,1,25.8,0,0,3.47,3.47,K156,0,0,0,0,5,1,5,85,25.8,R,48.6767,-9.5757,3
IMR,,1470.62,2766.35,7423.2,0.5230921,260.4,34,0.662527987,2848,2848,7.25806452,0,2848,1,18.9,5.65,10.62,28.51,44.78,K171,46,3,13,3,89,11,6,88,18.9,R,46.2511667,-4.15283333,3
IMR,,369.02,5918.71,4042.41,0.264484769,250.2,34.3,0.620018924,1440,1440,2.99760192,144,1296,1,7.5,1.47,23.66,16.16,41.29,K181,15,1,20,7,27,6,4,88,7.5,R,46.2511667,-4.15283333,3
