Atresia_by_I,Atresia_by_P,Est_atr_YG,Est_atr_YV,Est_atr_YV_YG,Field_area,Fish_weight,FishLength,FultonK,Grid_points,Grid_total,GSI,Neg_grid,No_grid,No_pictures,Ovary_weight,Rel_atr_ YG,Rel_atr_ YV,Rel_atr_ YV_YG,Rel_atr_tot,Sample_ref,YG,YG_P,YV,YV_P,YV_YG,YV_YG_P,Age,CalendarDay,OvaryWeight,SamplingApproach,StartLatitude,StartLongitude,SurveyPeriod
IMR,,0,0,0,0.375421437,303.8,35.6,0.673345211,2044,2044,5.13495721,64,1980,1,15.6,0,0,0,0.1,K196,0,0,3,0,0,0,6,88,15.6,R,46.2511667,-4.15283333,3
IMR,,0,3581.58,11358.18,0.359993158,348.8,37.9,0.640706082,1960,1960,4.52981651,76,1884,1,15.8,0,10.27,32.56,42.83,K211,0,0,11,3,89,13,6,88,15.8,R,46.2511667,-4.15283333,3
IMR,,0,0,1855.07,0.659007884,418.2,38.8,0.715960152,3588,3588,8.84744142,292,3296,1,37,0,0,4.44,4.44,K223,20,0,0,0,19,2,8,89,37,R,45.3505,-3.0095,3
IMR,,0,1264.53,17485.93,0.334279361,306.6,35.9,0.662657023,1820,1820,5.25114155,42,1778,1,16.1,0,4.12,57.03,61.16,K243,0,0,4,1,122,18,4,89,16.1,R,45.3505,-3.0095,3
IMR,,0,0,1288.35,0.339422121,443.6,39.3,0.730825826,1848,1848,3.40396754,132,1716,1,15.1,0,0,2.9,2.9,K280,0,0,0,0,25,2,11,128,15.1,R,43.538,-4.929,5
IMR,,826.97,1754.28,12791.71,0.379094836,316.2,36.6,0.644938955,2064,2064,5.85072739,174,1890,1,18.5,2.62,5.55,40.45,48.62,K295,9,1,2,1,65,12,6,133,18.5,R,44.1215,-1.55033333,5
IMR,,0,9196.13,43141.44,0.656803844,471,40.7,0.698614635,3576,3576,6.39065817,155,3421,1,30.1,0,19.52,91.6,111.12,M013,0,0,23,7,195,40,11,79,30.1,R,43.72,-6.44,3
IMR,,506.68,0,2087.34,0.321789803,321,36.2,0.676673737,1752,1752,4.57943925,72,1680,1,14.7,1.58,0,6.5,8.08,M101,22,1,0,0,35,3,5,89,14.7,R,43.64,-4.81,3
IMR,,0,0,4169.82,0.336850741,351,38,0.639670506,1834,1834,4.98575499,68,1766,1,17.5,0,0,11.88,11.88,M138,0,0,0,0,27,4,8,89,17.5,R,43.47,-4.72,3
AZTI,,1222.16,1058.42,2933.18,0.08754,417.4,38.6,0.725755826,360,2880,6.73215141,60,2820,8,28.1,2.93,2.54,7.03,12.49,K141,18,2,3,1,25,4,9,85,28.1,R,48.6767,-9.5757,3
AZTI,,14689.11,0,3220.8,0.08754,269.8,33.3,0.730649758,360,1800,5.18902891,61,1739,5,14,54.44,0,11.94,66.38,K173,135,24,0,0,13,4,3,88,14,R,46.2511667,-4.15283333,3
AZTI,,0,0,0,0.08754,345.8,39.6,0.556851548,360,1800,4.30884905,68,1732,5,14.9,0,0,0,0.1,K202,0,0,0,0,11,0,8,88,14.9,R,46.2511667,-4.15283333,3
AZTI,,1955.64,6817.12,4817.76,0.08754,299.9,36.3,0.626984191,360,1800,5.60186729,14,1786,5,16.8,6.52,22.73,16.06,45.32,K237,22,3,23,7,29,6,6,89,16.8,R,45.3505,-3.0095,3
AZTI,,0,0,13906.77,0.08754,433,39.7,0.692016383,360,2880,6.74364896,10,2870,8,29.2,0,0,32.12,32.12,K267,0,0,0,0,33,12,10,89,29.2,R,45.3505,-3.0095,3
AZTI,,29525.57,0,749.53,0.08754,509,44.6,0.57373746,360,2880,5.06876228,84,2796,8,25.8,58.01,0,1.47,59.48,M008,87,30,0,0,5,1,,79,25.8,R,43.72,-6.44,3
AZTI,,0,0,31492.35,0.08754,309,35.1,0.714557415,360,2880,6.40776699,74,2806,8,19.8,0,0,101.92,101.92,M071,0,0,0,0,294,56,4,82,19.8,R,43.55,-3.94,3
AZTI,,847.24,5800.63,0,0.08754,430,39.1,0.71934658,360,1080,2.79069767,35,1045,3,12,1.97,13.49,0,15.46,C047,6,1,16,5,0,0,12,105,12,,58.1323,-8.5055,4
AZTI,,0,18481.21,0,0.08754,374.24664,37,0.738843978,360,1440,1.84215415,82,1358,4,6.8942,0,49.38,0,49.38,E007,0,0,82,33,0,0,,166,6.8942,R,61.257,-12.8495,6
IEO,,0,0,2877.88,0.0437,403,39.2,0.66903193,300,5100,9.4044665,33,5067,17,37.9,0,0,7.14,7.14,M001,0,0,0,0,30,3,7,79,37.9,R,43.72,-6.44,3
IEO,,518.46,0,19595.99,0.0437,463,40,0.7234375,300,5400,7.96976242,25,5375,18,36.9,1.12,0,42.32,43.44,M015,29,1,0,0,188,21,11,79,36.9,R,43.72,-6.44,3
IEO,,0,1679.84,15994.07,0.0437,404,37.8,0.748007523,300,6900,12.1782178,50,6850,23,49.2,0,4.16,39.59,43.75,M034,0,0,3,1,193,18,8,79,49.2,R,43.72,-6.44,3
IEO,,0,1078.66,7436.96,0.0437,341,38.3,0.606957185,300,4500,6.04105572,31,4469,15,20.6,0,3.16,21.81,24.97,M046,0,0,3,1,84,11,11,82,20.6,R,43.55,-3.94,3
IEO,,0,0,11266.26,0.0437,370,37.4,0.707272736,300,5400,8.81081081,6,5394,18,32.6,0,0,30.45,30.45,M055,0,0,0,0,132,14,,82,32.6,R,43.55,-3.94,3
IEO,,0,0,16808.27,0.0437,322,37.3,0.62048227,300,3000,3.66459627,24,2976,10,11.8,0,0,52.2,52.2,M066,0,0,0,0,246,30,8,82,11.8,R,43.55,-3.94,3
IEO,,188.88,0,9707.1,0.0437,178,30.3,0.639870542,300,2400,2.64044944,4,2396,8,4.7,1.06,0,54.53,55.6,M084,18,1,0,0,184,30,2,89,4.7,R,43.64,-4.81,3
IEO,,0,0,3642.12,0.0437,345,37.6,0.649016234,300,4500,6.60869565,7,4493,15,22.8,0,0,10.56,10.56,M105,0,0,0,0,70,6,6,89,22.8,R,43.47,-4.72,3
IEO,,1028.06,0,18292,0.0437,395,39.9,0.621839648,300,3000,3.11392405,1,2999,10,12.3,2.6,0,46.31,48.91,M124,72,3,0,0,393,36,11,89,12.3,R,43.47,-4.72,3
IEO,,1307.51,0,1849.1,0.0437,432,38,0.787286776,300,5400,7.98611111,6,5394,18,34.5,3.03,0,4.28,7.31,M239,4,1,0,0,2,1,11,114,34.5,R,43.39,-9.04,4
IEO,,700.19,0,18408.44,0.0437,408,38.8,0.698497709,300,3000,3.33333333,13,2987,10,13.6,1.72,0,45.12,46.83,M370,7,1,0,0,178,26,9,119,13.6,R,43.53,-2.53,4
MSS,,2116.67,5780.82,14966.13,0.4364,346.4,34.9,0.814894905,2376,2376,5.36951501,146,2230,1,18.6,6.11,16.69,43.2,66,C116,29,3,18,5,88,16,5,109,18.6,,58.1414,-8.4911,4
MSS,,692.97,4802.04,24498.86,0.4077,186.3,31.6,0.590407148,2220,2220,5.52871712,149,2071,1,10.3,3.72,25.78,131.5,161,K113,28,2,25,7,193,41,3,82,10.3,R,46.92,-7.12,3
MSS,,4518.26,14374.28,9148.78,0.6634,354,36.9,0.704570026,3612,3612,13.0225989,63,3549,1,46.1,12.76,40.61,25.84,79.21,K148,82,5,14,6,20,5,6,85,46.1,R,48.6767,-9.5757,3
MSS,,0,16816.49,26304.37,0.4011,363,39.1,0.607262346,2184,2184,4.9862259,35,2149,1,18.1,0,46.33,72.46,118.79,K166,0,0,20,10,113,24,7,88,18.1,R,46.2511667,-4.15283333,3
MSS,,2196.8,0,8508.17,0.4166,362.4,37.5,0.687217778,2268,2268,5.18763797,152,2116,1,18.8,6.06,0,23.48,29.54,K178,30,3,0,0,54,9,8,88,18.8,R,46.2511667,-4.15283333,3
MSS,,0,2102.16,30613.23,0.3997,304,36.7,0.61500039,2176,2176,5.29605263,76,2100,1,16.1,0,6.92,100.7,107.62,K191,0,0,1,1,220,36,4,88,16.1,R,46.2511667,-4.15283333,3
MSS,,1025.55,16450.19,24185,0.7079,397.6,39.9,0.625932769,3854,3854,8.60160966,162,3692,1,34.2,2.58,41.37,60.83,104.78,K208,6,1,17,9,74,19,8,88,34.2,R,46.2511667,-4.15283333,3
MSS,,2424,4905.82,3731.99,0.6024,239,33.4,0.641443636,3280,3280,8.45188285,171,3109,1,20.2,10.14,20.53,15.62,46.28,K218,64,5,8,4,27,5,3,88,20.2,R,46.2511667,-4.15283333,3
MSS,,742.18,2968.71,27713.95,0.684,358.6,36.6,0.731420333,3724,3724,7.69659788,153,3571,1,27.6,2.07,8.28,77.28,87.63,K238,8,1,4,2,188,32,7,89,27.6,R,45.3505,-3.0095,3
MSS,,0,4652.61,23722.8,0.6043,371.4,38.3,0.661067151,3290,3290,6.83898761,116,3174,1,25.4,0,12.53,63.87,76.4,K256,0,0,6,3,104,23,7,89,25.4,R,45.3505,-3.0095,3
MSS,,0,0,17692.65,0.4055,420.2,39.2,0.697586146,2208,2208,4.35506901,128,2080,1,18.3,0,0,42.11,42.11,K273,0,0,0,0,85,17,8,128,18.3,D,43.7156667,-5.71116667,5
MSS,,1237.54,4067.43,12030.25,0.4243,337.6,37.9,0.620132951,2310,2310,3.43601896,136,2174,1,11.6,3.67,12.05,35.63,51.35,K288,35,3,15,5,80,18,7,133,11.6,R,44.1215,-1.55033333,5
MSS,,0,7346.18,20764.81,0.72,419,38.5,0.734229508,3920,3920,9.06921241,136,3784,1,38,0,17.53,49.56,67.09,M011,0,0,9,4,163,21,11,79,38,R,43.72,-6.44,3
MSS,,5278.73,1955.08,13333.11,0.4349,371,38.1,0.670809157,2368,2368,4.42048518,113,2255,1,16.4,14.23,5.27,35.94,55.44,M051,100,9,1,1,59,14,7,82,16.4,R,43.55,-3.94,3
MSS,,0,6904.61,11103.03,0.6171,316,36.2,0.666133647,3360,3360,6.58227848,238,3122,1,20.8,0,21.85,35.14,56.99,M076,0,0,4,4,99,16,4,82,20.8,D,43.55,-3.94,3
MSS,,975.42,4705.61,8998.56,0.4298,345,38.2,0.618912147,2340,2340,4.69565217,119,2221,1,16.2,2.83,13.64,26.08,42.55,M126,4,1,11,4,47,10,9,89,16.2,R,43.47,-4.72,3
MSS,,467.64,18627.73,48297.41,0.299,420.6,38.6,0.731319838,1628,1628,2.3062292,70,1558,1,9.7,1.11,44.29,114.83,160.23,C147,13,1,18,13,78,40,10,111,9.7,,59.5114,-5.1075,4
WMR,,0,0,0,0.577715952,305.4,35,0.712303207,3146,3146,6.45055665,302,2844,1,19.7,0,0,0,0.1,C046,0,0,0,0,0,0,5,105,19.7,,58.1323,-8.5055,4
WMR,,0,0,6840.18,0.4284,364.2,38.2,0.653355953,2288,2288,3.13014827,41,2247,1,11.4,0,0,18.78,18.78,C142,0,0,0,0,30,9,10,111,11.4,,59.5114,-5.1075,4
WMR,,0,0,1557.11,0.481772964,360.4,34.4,0.885338712,2626,2626,1.72031077,484,2142,1,6.2,0,0,4.32,4.32,C286,0,0,0,0,54,7,3,193,6.2,,49.325,-11.05,7
WMR,,0,5042.02,15737.98,0.7369,335.2,36.4,0.695024092,4012,4012,10.3520286,447,3565,1,34.7,0,15.04,46.95,61.99,K111,0,0,14,4,154,19,4,82,34.7,R,46.92,-7.12,3
WMR,,0,0,7526.06,0.6519338,379.2,38.4,0.669691298,3552,3552,5.66983122,243,3309,1,21.5,0,0,19.85,19.85,K131,0,0,0,0,111,13,8,85,21.5,R,48.6767,-9.5757,3
WMR,,7033.49,0,2169.5,0.39,371.2,38.1,0.671170779,2232,2232,3.79849138,125,2107,1,14.1,18.95,0,5.84,24.79,K161,74,10,0,0,21,3,8,88,14.1,R,46.2511667,-4.15283333,3
WMR,,0,5918,3457.52,0.396611916,341.2,37.4,0.652220156,1984,1984,4.68933177,140,1844,1,16,0,17.34,10.13,27.48,K172,0,0,14,5,21,4,10,88,16,R,46.2511667,-4.15283333,3
WMR,,0,0,4194.37,0.6245,406,39,0.684435004,3400,3400,4.80295567,381,3019,1,19.5,0,0,10.33,10.33,K188,0,0,0,0,30,6,8,88,19.5,R,46.2511667,-4.15283333,3
WMR,,0,0,8857.87,0.417319082,313,36.8,0.628059634,2208,2208,4.79233227,272,1936,1,15,0,0,28.3,28.3,K198,0,0,0,0,87,13,6,88,15,R,46.2511667,-4.15283333,3
WMR,,498.54,0,0,0.6514,302.2,35.7,0.664186145,3540,3540,6.88285903,477,3063,1,20.8,1.65,0,0,1.65,K216,10,1,0,0,0,0,6,88,20.8,R,46.2511667,-4.15283333,3
WMR,,0,857.94,21146.04,0.63907708,357.4,37.8,0.661727447,3444,3444,6.68718523,200,3244,1,23.9,0,2.4,59.17,61.57,K233,0,0,5,1,162,27,8,89,23.9,R,45.3505,-3.0095,3
WMR,,0,1258.79,0,0.6506,378.8,39.8,0.600842652,3542,3542,7.28616684,227,3315,1,27.6,0,3.32,0,3.32,K251,0,0,3,1,0,0,10,89,27.6,R,45.3505,-3.0095,3
WMR,,1597.19,0,8698.24,0.6447,314.6,35.6,0.697282434,3510,3510,7.53337572,119,3391,1,23.7,5.08,0,27.65,32.73,K266,39,3,0,0,107,13,5,89,23.7,R,45.3505,-3.0095,3
WMR,,2229.83,0,806.04,0.45567,365.4,37.5,0.692906667,2486,2486,3.33880679,96,2390,1,12.2,6.1,0,2.21,8.31,K285,49,5,0,0,3,1,6,133,12.2,R,44.1215,-1.55033333,5
WMR,,0,0,0,0.62213127,429,40.5,0.645791348,3384,3384,6.43356643,127,3257,1,27.6,0,0,0,0.1,M006,0,0,0,0,0,0,9,79,27.6,R,43.72,-6.44,3
WMR,,0,0,2196.54,0.6935,463,39.3,0.7627871,3776,3776,9.58963283,233,3543,1,44.4,0,0,4.74,4.74,M038,0,0,0,0,18,2,6,79,44.4,D,43.72,-6.44,3
WMR,,1854.91,1237.81,2143.96,0.59325,373,38.7,0.643540579,3230,3230,5.44235925,235,2995,1,20.3,4.97,3.32,5.75,14.04,M061,57,4,2,1,18,3,8,82,20.3,R,43.55,-3.94,3
WMR,,0,0,0,0.50695,247,34.1,0.622922211,2760,2760,5.951417,110,2650,1,14.7,0,0,0,0.1,M108,0,0,0,0,0,0,4,89,14.7,R,43.47,-4.72,3
