Sample_ref,Fec_s_weight,Fecundity_by,FishLength,FishWeight,FultonK,GSI,Ooc_no,OocyteDensity,OvaryWeight,PotentialFecundity,RelativeFecundity,max_dia,mean_dia,min_dia,n_dia,p5_dia,p50_dia,p95_dia,sd_dia,Age,CalendarDay,Campaign,Country,HaulID,Maturity Walsh,Maturity WKMATCH 2012 revised,Notes,SamplingApproach,Ship,StartLatitude,StartLongitude,SurveyPeriod,Fecundity_H,Oocyte_stage_H,Fecundity_W,Sample_letter,Latitude_rounded
A018,26,DTU,39,411,0.692864006,6.472019465,715,27500,26.6,731500,1779.805353,673,414.3653,189,479,189,409,616,115.5263,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A024,26,DTU,35,330,0.7696793,4.515151515,501,19269.23077,14.9,287111.5385,870.034965,819,465.7418,283,364,316,461.5,606,94.3366,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A036,26,DTU,33,274,0.762445391,5.218978102,665,25576.92308,14.3,365750,1334.854015,706,409.9621,189,422,189,408.5,660,128.2588,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A054,26,DTU,33,267,0.742966859,3.707865169,1021,39269.23077,9.9,388765.3846,1456.05013,558,395.865,189,437,285,401,508,68.88624,,75,45CE_2022,IE,4,2,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
C036,26,DTU,38.2,421.8,0.756687373,5.239449976,502,19307.69231,22.1,426700,1011.61688,782,490.1238,272,210,312,471.5,723,122.4756,9,105,0222H,GB-SCT,AE22002,3,,,,746A,58.1323,-8.5055,4,yes,4,yes,C,58
C096,26,DTU,38.6,447.5,0.778092314,3.888268156,896,34461.53846,17.4,599630.7692,1339.957026,591,402.3918,189,365,189,422,533,104.361,8,109,0222H,GB-SCT,AE22005,3,,D8,,746A,58.1414,-8.4911,4,yes,3,yes,C,58
C102,26,DTU,38.4,361.2,0.637902154,4.512735327,875,33653.84615,16.3,548557.6923,1518.709004,771,378.3743,185,342,189,352,739,172.4374,9,109,0222H,GB-SCT,AE22005,3,,,,746A,58.1414,-8.4911,4,yes,4,yes,C,58
C156,26,DTU,39.4,464.6,0.759609767,3.594489884,1079,41500,16.7,693050,1491.713302,576,328.3127,189,323,189,340,434,83.33904,,112,0222H,GB-SCT,AE22007,3,,,,746A,60.1299,-4.1096,4,yes,3,yes,C,60
C216,26,DTU,40.9,445.8,0.651583593,6.437864513,607,23346.15385,28.7,670034.6154,1502.993754,685,469.1511,189,311,301,471,635,102.4272,13,114,0222H,GB-SCT,AE22008,3,,,,746A,60.449,-2.4386,4,yes,3,yes,C,60
C222,26,DTU,40.6,471.8,0.704984934,3.603221704,829,31884.61538,17,542038.4615,1148.873382,591,427.8371,189,356,273,440,538,76.19727,15,114,0222H,GB-SCT,AE22009,3,,,,746A,61.0227,-1.5015,4,yes,3,yes,C,61
