Sample_ref,Fec_s_weight,Fecundity_by,FishLength,FishWeight,FultonK,GSI,Ooc_no,OocyteDensity,OvaryWeight,PotentialFecundity,RelativeFecundity,max_dia,mean_dia,min_dia,n_dia,p5_dia,p50_dia,p95_dia,sd_dia,Age,CalendarDay,Campaign,Country,HaulID,Maturity Walsh,Maturity WKMATCH 2012 revised,Notes,SamplingApproach,Ship,StartLatitude,StartLongitude,SurveyPeriod,Fecundity_H,Oocyte_stage_H,Fecundity_W,Sample_letter,Latitude_rounded
G036,26,DTU,37.8,362,0.670244364,2.26519337,1031,39653.84615,8.2,325161.5385,898.2362941,665,267.1322,189,794,189,277,357,65.46234,11,99,WH455,DE,161,5,Cb,,R,Walther Herwig III,49.46,-10.28,3,yes,4,yes,G,49
G108,26,DTU,40,435,0.6796875,4.965517241,882,33923.07692,21.6,732738.4615,1684.456233,817,408.3546,189,392,261,399.5,689,115.7925,10,105,WH455,DE,206,4,3a,Genetics,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
G138,26,DTU,36,305,0.65372085,6,479,18423.07692,18.3,337142.3077,1105.384615,823,450.3233,252,331,286,430,718,128.4876,6,105,WH455,DE,206,5,3b,,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
K012,52,DTU,39.7,432.6,0.691377107,12.2283865,559,10750,52.9,568675,1314.551549,799,523.0443,189,429,264,507,770,176.8046,8,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K018,52,DTU,40.7,478.2,0.709294095,8.803847762,879,16903.84615,42.1,711651.9231,1488.188881,814,494.9702,211,503,267,451,769,174.2643,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K024,52,DTU,38.9,450.2,0.76481551,7.907596624,941,18096.15385,35.6,644223.0769,1430.970851,826,445.596,250,656,262,428.5,691,138.8016,11,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K042,52,DTU,39.2,417.8,0.693601837,10.31594064,797,15326.92308,43.1,660590.3846,1581.116287,783,477.7157,189,619,260,465,710,149.707,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K066,52,DTU,37.1,355.2,0.695586634,10.58558559,783,15057.69231,37.6,566169.2308,1593.944906,780,471.3406,200,599,265,419,740,164.6007,9,77,MEGS_1,ES,2,3,,,R,29RM,47.3435,-6.122,3,yes,4,yes,K,47
K078,52,DTU,34.7,278.7,0.66703488,5.418012199,767,14750,15.1,222725,799.1567994,700,431.4736,189,511,253,421,661,129.1547,4,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,3,yes,K,47
K108,52,DTU,36,325.8,0.698302469,12.61510129,584,11230.76923,41.1,461584.6154,1416.772914,914,547.4737,189,380,286.5,487,847.5,192.6441,5,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K138,52,DTU,35.9,346,0.747812556,6.61849711,1005,19326.92308,22.9,442586.5385,1279.151845,747,448.8732,189,686,258,435,683,136.8707,4,85,MEGS_1,ES,4,3,,,R,29RM,48.6767,-9.5757,3,yes,3,yes,K,49
M162,26,DTU,37.9,352,0.646584119,5.284090909,771,29653.84615,18.6,551561.5385,1566.936189,738,368.3324,189,340,262,353,500.5,74.28665,7,100,Pelacus0322,ES,Pelacus0322-0010,5,Cb,,R,29MO,43.35,-8.74,4,yes,4,yes,M,43
M282,26,DTU,38.8,430,0.736161802,3.11627907,782,30076.92308,13.4,403030.7692,937.2808587,454,356.7866,227,403,268,362,430,52.16897,6,117,Pelacus0322,ES,Pelacus0322-0020,5,Cb,,R,29MO,43.43,-4.69,4,yes,3,yes,M,43
M312,26,DTU,37,347,0.685053205,5.850144092,383,14730.76923,20.3,299034.6154,861.7712259,713,486.3561,262,264,341,461.5,691,115.1326,3,119,Pelacus0322,ES,Pelacus0322-0024,5,Cb,,R,29MO,43.45,-3.35,4,yes,3,yes,M,43
O006,52,DTU,27.2,130,0.646006132,2.369230769,1252,24076.92308,3.08,74156.92308,570.4378698,443,371.8606,189,287,272,383,431,48.98424,,28,29VE_2022,PT,3,,,,R,29VE,36.915,-7.196666667,2,yes,3,yes,O,37
O018,52,DTU,26.6,131,0.696027479,6.099236641,492,9461.538462,7.99,75597.69231,577.0816207,704,480.4767,205,300,315,476,643.5,103.4386,,33,29VE_2022,PT,9,,,,R,29VE,37.96833333,-8.983333333,2,yes,3,yes,O,38
O042,52,DTU,28.2,205,0.914126999,5.448780488,597,11480.76923,11.17,128240.1923,625.5619137,695,432.8765,250,429,283,423,610,101.955,,47,29VE_2022,PT,23,,,,R,29VE,42.695,-9.376666667,2,yes,3,yes,O,43
X006,26,DTU,37.5,400,0.758518519,3.525,611,23500,14.1,331350,828.375,535,395.2652,251,313,302,395,489,54.94942,9,33,PFA sampling,NL,2022032_4,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.53333333,-5.766666667,2,yes,4,yes,X,60
X012,26,DTU,40.1,470,0.728894612,3.489361702,922,35461.53846,16.4,581569.2308,1237.381342,527,352.5273,189,512,260,350.5,463,61.48065,10,37,PFA sampling,NL,2022032_8,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.21666667,-6.383333333,2,yes,3,yes,X,59
X018,26,DTU,40.2,490,0.754254519,3.448979592,888,34153.84615,16.9,577200,1177.959184,517,358.6064,189,592,256,357.5,469,70.28486,7,41,PFA sampling,NL,2022032_12,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.36666667,-8.166666667,2,yes,3,yes,X,58
X024,26,DTU,38.7,430,0.741883241,4.581395349,1111,42730.76923,19.7,841796.1538,1957.665474,597,398.2867,189,450,265,388.5,552,98.06205,10,41,PFA sampling,NL,2022032_13,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.38333333,-8.216666667,2,no,4,yes,X,58
X036,26,DTU,38.2,430,0.771397748,4.372093023,784,30153.84615,18.8,566892.3077,1318.354204,605,393.5918,189,485,238,378,566,107.7304,6,44,PFA sampling,NL,2022032_18,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.78333333,-9.366666667,2,yes,4,yes,X,58
X042,26,DTU,40,520,0.8125,5.923076923,810,31153.84615,30.8,959538.4615,1845.266272,699,404.5499,189,431,238,406,551,102.0497,11,45,PFA sampling,NL,2022032_19,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.76666667,-9.366666667,2,yes,4,yes,X,58
X048,26,DTU,39.2,470,0.780260563,3.978723404,863,33192.30769,18.7,620696.1538,1320.630115,550,379.8561,189,563,189,380,521,95.81892,9,45,PFA sampling,NL,2022032_21,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.03333333,-9.166666667,2,yes,3,yes,X,57
X054,26,DTU,38.4,447,0.789430406,4.921700224,949,36500,22,803000,1796.420582,577,407.8708,189,418,277,398.5,545,82.23627,5,62,PFA sampling,NL,2022033_03,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.41666667,2,yes,4,yes,X,55
X066,26,DTU,38.6,412,0.716366555,5.339805825,438,16846.15385,22,370615.3846,899.5519044,626,415.9969,189,323,238,422,568,97.71624,8,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,4,yes,X,55
X072,26,DTU,39.1,430,0.71934658,5.348837209,642,24692.30769,23,567923.0769,1320.751342,665,444.638,250,384,288,448.5,590,92.02972,11,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,3,yes,X,55
X078,26,DTU,38.8,421,0.720753764,5.93824228,629,24192.30769,25,604807.6923,1436.597844,691,407.6667,189,396,189,411,606,116.6697,6,63,PFA sampling,NL,2022033_05,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.4,2,yes,3,yes,X,55
X096,26,DTU,39.4,467,0.763533709,5.995717345,456,17538.46154,28,491076.9231,1051.55658,721,431.4781,189,320,213.5,415,684,140.4414,8,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,4,yes,X,55
X102,26,DTU,39.5,433,0.702581337,5.542725173,602,23153.84615,24,555692.3077,1283.354059,692,423.7674,189,387,255,416,642,122.6055,8,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,4,yes,X,55
X108,26,DTU,35.4,332,0.748390555,4.518072289,746,28692.30769,15,430384.6154,1296.339203,617,393.5798,186,514,244,392,568,98.94093,4,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,3,yes,X,55
X126,26,DTU,39.4,414,0.67687999,7.246376812,614,23615.38462,30,708461.5385,1711.259755,747,415.5678,189,428,253,404,676,128.9859,10,66,PFA sampling,NL,2022033_11,3,Bb,Ovary weigth taken on board,R,74YB,54.5,-10.56666667,3,yes,4,yes,X,55
X132,26,DTU,37.2,368,0.714856712,6.52173913,560,21538.46154,24,516923.0769,1404.682274,703,437.8799,189,358,252,438.5,649,131.2984,5,66,PFA sampling,NL,2022033_11,3,Bb,Ovary weigth taken on board,R,74YB,54.5,-10.56666667,3,yes,3,yes,X,55
X138,26,DTU,36.8,345,0.692270203,6.086956522,535,20576.92308,21,432115.3846,1252.508361,719,433.4483,189,348,262,415.5,664,129.5851,6,67,PFA sampling,NL,2022033_13,3,Bb,Ovary weigth taken on board,R,74YB,54.31666667,-10.65,3,yes,3,yes,X,54
X156,26,DTU,38.6,413,0.718105309,5.326876513,695,26730.76923,22,588076.9231,1423.915068,612,409.3376,189,468,254,421.5,552,94.25852,6,68,PFA sampling,NL,2022033_14,3,Bb,Ovary weigth taken on board,R,74YB,54.35,-10.66666667,3,yes,4,yes,X,54
X162,26,DTU,35.2,288,0.660335274,6.944444444,663,25500,20,510000,1770.833333,696,422.0746,192,389,258,418,626,118.0644,4,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,3,yes,X,54
X168,26,DTU,37,359,0.708743806,8.077994429,488,18769.23077,29,544307.6923,1516.177416,737,464.7492,189,315,259,453,687,143.8936,6,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,3,yes,X,54
X174,26,DTU,37.9,438,0.804556375,6.621004566,527,20269.23077,29,587807.6923,1342.026695,655,407.3768,189,284,189,413,618,129.3211,7,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,4,yes,X,54
X192,26,DTU,41,474,0.687743939,5.485232068,729,28038.46154,26,729000,1537.974684,611,409.3051,189,472,264,416,576,106.2335,7,68,PFA sampling,NL,2022033_17,3,Bb,Ovary weigth taken on board,R,74YB,53.98333333,-10.86666667,3,yes,3,yes,X,54
X198,26,DTU,36.5,344,0.707424097,8.430232558,483,18576.92308,29,538730.7692,1566.077818,710,444.4132,189,334,189,443.5,654,133.1618,6,68,PFA sampling,NL,2022033_17,3,Bb,Ovary weigth taken on board,R,74YB,53.98333333,-10.86666667,3,yes,3,yes,X,54
X204,26,DTU,36.7,337,0.6817603,8.605341246,431,16576.92308,29,480730.7692,1426.500799,777,498.419,189,253,261,481,711,140.2905,5,70,PFA sampling,NL,2022033_18,3,Bb,Ovary weigth taken on board,R,74YB,53.78333333,-11.01666667,3,yes,3,yes,X,54
X210,26,DTU,39.6,469,0.755244002,5.543710021,650,25000,26,650000,1385.927505,634,437.163,189,368,251,442.5,591,104.6192,7,70,PFA sampling,NL,2022033_19,3,Bb,Could already be Walsh stage 5. Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,4,yes,X,54
X216,26,DTU,36.7,359,0.726266907,6.406685237,608,23384.61538,23,537846.1538,1498.178702,698,437.9231,189,351,255,424,656,127.3941,6,70,PFA sampling,NL,2022033_19,3,Bb,Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,4,yes,X,54
X222,26,DTU,36.1,359,0.76308487,5.849582173,459,17653.84615,21,370730.7692,1032.676237,697,470.7138,189,276,283,469.5,664,126.6574,5,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,3,yes,X,54
X228,26,DTU,34.5,271,0.659951478,7.380073801,546,21000,20,420000,1549.815498,704,450.1564,189,326,189,450.5,675,137.9965,4,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,3,yes,X,54
X234,26,DTU,33.5,269,0.715513544,8.178438662,417,16038.46154,22,352846.1538,1311.695739,788,476.9809,189,262,250,466.5,707,157.6769,3,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,3,yes,X,54
X246,26,DTU,36.3,325,0.67945936,10.46153846,764,29384.61538,34,999076.9231,3074.08284,758,499.7734,236,512,279,506.5,698,137.6762,6,70,PFA sampling,NL,2022033_21,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-11.05,3,yes,4,yes,X,54
X252,26,DTU,38.4,421,0.743512754,6.175771971,615,23653.84615,26,615000,1460.807601,769,430.6078,189,357,251,412,695,143.8857,11,71,PFA sampling,NL,2022033_22,3,Bb,Ovary weigth taken on board,R,74YB,53.88333333,-10.86666667,3,yes,3,yes,X,54
X258,26,DTU,40.4,486,0.737041894,6.995884774,577,22192.30769,34,754538.4615,1552.548275,742,433.1373,189,408,258,421,680,130.1317,11,71,PFA sampling,NL,2022033_24,3,Bb,Ovary weigth taken on board,R,74YB,53.7,-11.2,3,yes,3,yes,X,54
X264,26,DTU,36.5,345,0.709480563,8.695652174,499,19192.30769,30,575769.2308,1668.896321,781,483.1179,189,263,189,473,716,157.2601,5,71,PFA sampling,NL,2022033_24,3,Bb,Ovary weigth taken on board,R,74YB,53.7,-11.2,3,yes,4,yes,X,54
X276,26,DTU,38.2,339,0.608148457,10.02949853,553,21269.23077,34,723153.8462,2133.197186,808,476.2435,189,271,233,446,749,158.3921,6,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,4,yes,X,54
X282,26,DTU,37.3,395,0.761150611,7.848101266,379,14576.92308,31,451884.6154,1144.011685,798,493.3712,189,264,276,485,734,152.6595,4,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,4,,X,54
X288,26,DTU,34.3,305,0.755818433,8.852459016,477,18346.15385,27,495346.1538,1624.08575,740,461.8875,189,329,268,438,686,132.3199,5,72,PFA sampling,NL,2022033_26,3,Bb,Ovary weigth taken on board,R,74YB,53.91666667,-10.9,3,yes,3,yes,X,54
X312,26,DTU,39.5,455,0.738278311,6.813186813,685,26346.15385,31,816730.7692,1795.01268,625,410.8937,189,489,261,424,562,96.44437,9,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,3,yes,X,54
X318,26,DTU,36.7,352,0.712105714,6.818181818,652,25076.92308,24,601846.1538,1709.79021,647,423.9548,189,398,189,434,597,113.5368,8,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,3,yes,X,54
X336,26,DTU,39.1,431,0.721019479,5.336426914,765,29423.07692,23,676730.7692,1570.140996,560,400.3251,189,566,261,411,520,83.53733,9,74,PFA sampling,NL,2022033_31,3,Bb,Ovary weigth taken on board,R,74YB,53.6,-11.03333333,3,yes,3,yes,X,54
X342,26,DTU,38.6,385,0.669420204,7.792207792,596,22923.07692,30,687692.3077,1786.213786,753,437.3438,189,349,257,422,687,128.7576,9,74,PFA sampling,NL,2022033_32,3,Bb,Ovary weigth taken on board,R,74YB,53.65,-11.06666667,3,yes,3,yes,X,54
X348,26,DTU,39.2,415,0.688953476,5.78313253,699,26884.61538,24,645230.7692,1554.772938,632,423.7786,189,420,189,432.5,580.5,104.3565,11,74,PFA sampling,NL,2022033_33,2,Ba,Ovary weigth taken on board,R,74YB,53.7,-11.1,3,yes,3,yes,X,54
X516,26,DTU,40.6,468,0.699306802,5.555555556,639,24576.92308,26,639000,1365.384615,667,425.6141,189,355,255,429,614,116.7195,14,75,PFA sampling,NL,2022033_36,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.08333333,3,yes,4,yes,X,54
X522,26,DTU,40.2,419,0.644964578,6.92124105,502,19307.69231,29,559923.0769,1336.331926,774,446.253,189,328,244,425.5,697,138.4229,10,75,PFA sampling,NL,2022033_36,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.08333333,3,yes,4,yes,X,54
A023,26,IEO,37,372,0.734408623,8.198924731,569,21884.61538,30.5,667480.7692,1794.303143,779,473.7578,252,322,271,456,734,145.9486,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A035,26,IEO,37,417,0.823248376,9.208633094,546,21000,38.4,806400,1933.81295,761,470.8088,257,319,296,455,698,118.7966,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A047,26,IEO,33,248,0.690096558,4.072580645,1049,40346.15385,10.1,407496.1538,1643.129653,613,403.7572,251,552,281,393.5,541,82.20478,,75,45CE_2022,IE,4,2,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
K011,52,IEO,38.8,463.4,0.793342742,8.782908934,1132,21769.23077,40.7,886007.6923,1911.971714,864,478.3878,185,557,275,454,772,157.3664,11,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K023,52,IEO,37.4,403,0.770353818,8.263027295,1056,20307.69231,33.3,676246.1538,1678.030158,793,491.3838,185,495,276,485,732,152.791,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K047,52,IEO,37.6,378.6,0.712224772,8.478605388,856,16461.53846,32.1,528415.3846,1395.708887,789,501.4457,254,460,288,483,737.5,147.6136,6,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K059,52,IEO,38.6,422.2,0.734101844,7.01089531,1269,24403.84615,29.6,722353.8462,1710.928106,795,460.6917,185,519,284,437,744,135.5426,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K071,52,IEO,36.1,299,0.635549794,7.591973244,1257,24173.07692,22.7,548728.8462,1835.213532,791,462.4773,251,484,274,441,705,132.9704,6,77,MEGS_1,ES,2,3,,,R,29RM,47.3435,-6.122,3,yes,4,yes,K,47
K095,52,IEO,36.6,323,0.65880861,7.894736842,867,16673.07692,25.5,425163.4615,1316.295547,829,502.8081,253,495,278,469,762,165.6547,5,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K203,52,IEO,35.7,313.2,0.688362344,6.704980843,907,17442.30769,21,366288.4615,1169.503389,834,525.4465,185,383,274,519,786,174.5192,5,88,MEGS_1,ES,6,3,,,R,29RM,46.25116667,-4.152833333,3,yes,4,yes,K,46
M167,26,IEO,40.5,526,0.791809439,7.661596958,399,15346.15385,40.3,618450,1175.760456,771,519.4574,254,223,333,477,747,146.7518,10,100,Pelacus0322,ES,Pelacus0322-0010,5,Cb,,R,29MO,43.35,-8.74,4,yes,4,yes,M,43
O011,52,IEO,28.1,160,0.721109178,2.775,1846,35500,4.44,157620,985.125,484,355.4686,185,478,250,369,445,69.71591,,28,29VE_2022,PT,3,,,,R,29VE,36.915,-7.196666667,2,yes,3,yes,O,37
O035,52,IEO,26.4,173,0.940230473,6.89017341,552,10615.38462,11.92,126535.3846,731.4184082,761,494.7227,185,339,289,481,710,132.8169,,47,29VE_2022,PT,23,,,,R,29VE,42.695,-9.376666667,2,yes,3,yes,O,43
X011,26,IEO,38.3,450,0.800969893,3.622222222,1019,39192.30769,16.3,638834.6154,1419.632479,550,383.5549,251,501,272,378,506,71.14382,8,33,PFA sampling,NL,2022032_5,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.33333333,-6.2,2,yes,4,yes,X,59
X023,26,IEO,39.5,470,0.762617156,4.531914894,877,33730.76923,21.3,718465.3846,1528.649755,634,435.2864,185,426,310,425.5,588,90.83033,7,41,PFA sampling,NL,2022032_13,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.38333333,-8.216666667,2,yes,3,yes,X,58
X035,26,IEO,37.7,360,0.671859481,4.777777778,514,19769.23077,17.2,340030.7692,944.5299145,755,456.1058,250,378,299,448,633,101.7808,7,44,PFA sampling,NL,2022032_18,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.78333333,-9.366666667,2,yes,4,yes,X,58
X047,26,IEO,38.5,430,0.753505223,5.139534884,663,25500,22.1,563550,1310.581395,665,455.5197,255,406,286,456.5,610,104.8938,8,45,PFA sampling,NL,2022032_21,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.03333333,-9.166666667,2,yes,4,yes,X,57
X059,26,IEO,34.8,324,0.768789208,5.555555556,733,28192.30769,18,507461.5385,1566.239316,654,451.6833,252,360,290,457,594.5,95.37605,4,62,PFA sampling,NL,2022033_03,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.41666667,2,yes,4,yes,X,55
X071,26,IEO,40.4,475,0.720359875,4.210526316,1137,43730.76923,20,874615.3846,1841.295547,569,418.9754,250,487,271,428,531,79.28658,9,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,3,yes,X,55
X083,26,IEO,39.4,458,0.748818926,4.80349345,1052,40461.53846,22,890153.8462,1943.56735,636,401.0717,250,558,261,395,562,94.068,8,63,PFA sampling,NL,2022033_05,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.4,2,yes,3,yes,X,55
X095,26,IEO,39.4,446,0.729199216,7.623318386,377,14500,34,493000,1105.381166,779,489.8415,251,246,291,471,738,145.8917,6,64,PFA sampling,NL,2022033_06,3,Bb,Ovary weigth taken on board,R,74YB,54.66666667,-10.4,2,yes,4,yes,X,55
X107,26,IEO,36.4,363,0.752666305,6.887052342,593,22807.69231,25,570192.3077,1570.777707,733,467.8678,251,363,282,451,675,124.2324,3,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,4,yes,X,55
X119,26,IEO,37.6,397,0.746838971,8.564231738,694,26692.30769,34,907538.4615,2285.991087,760,452.0752,252,399,283,442,688,121.8622,10,65,PFA sampling,NL,2022033_10,3,Bb,Ovary weigth taken on board,R,74YB,54.36666667,-10.58333333,3,yes,4,yes,X,54
X131,26,IEO,37.5,410,0.777481481,5.853658537,758,29153.84615,24,699692.3077,1706.566604,617,448.2026,255,390,271,448,582,95.47127,8,66,PFA sampling,NL,2022033_11,3,Bb,Ovary weigth taken on board,R,74YB,54.5,-10.56666667,3,yes,3,yes,X,55
X143,26,IEO,38.9,458,0.778066423,8.07860262,549,21115.38462,37,781269.2308,1705.828015,741,458.5718,252,404,287,443,689,121.2223,8,67,PFA sampling,NL,2022033_13,3,Bb,Ovary weigth taken on board,R,74YB,54.31666667,-10.65,3,yes,3,yes,X,54
X191,26,IEO,36.7,352,0.712105714,6.818181818,654,25153.84615,24,603692.3077,1715.034965,691,462.0031,254,318,285,457.5,653,120.4779,5,68,PFA sampling,NL,2022033_16,3,Bb,Ovary weigth taken on board,R,74YB,54.15,-10.75,3,yes,4,yes,X,54
X203,26,IEO,40,420,0.65625,6.666666667,523,20115.38462,28,563230.7692,1341.025641,765,475.2827,253,336,290,463,682,116.1242,8,70,PFA sampling,NL,2022033_18,3,Bb,Ovary weigth taken on board,R,74YB,53.78333333,-11.01666667,3,yes,3,yes,X,54
X227,26,IEO,40.7,481,0.713447218,8.523908524,516,19846.15385,41,813692.3077,1691.667999,788,485.2197,253,305,289,466,740,148.0417,10,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,3,yes,X,54
