Year,period,Component,dates,datee
2019,0,S,25/01/2019,18/07/2019
2019,2,S,25/01/2019,25/02/2019
2019,3,S,14/03/2019,05/04/2019
2019,4,S,10/04/2019,03/05/2019
2019,5,S,04/05/2019,08/05/2019
2019,0,W,05/02/2019,31/07/2019
2019,2,W,11/02/2019,01/03/2019
2019,3,W,19/03/2019,12/04/2019
2019,4,W,15/04/2019,30/04/2019
2019,5,W,04/05/2019,31/05/2019
2019,6,W,06/06/2019,28/06/2019
2019,7,W,02/07/2019,22/07/2019
